Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
10000;54.9767;59.8525;55
10500;55.1846;60.5347;55.4238
11025;55.8042;61.4447;55.8476
11576.3;56.0665;62.0466;56.2714
12155.1;56.413;62.7838;56.6952
12762.8;56.9291;63.4757;57.1189
13401;57.2995;64.0662;57.5427
14071;57.6951;64.7625;57.9665
14774.6;58.1442;65.1395;58.3903
15513.3;58.578;65.8194;58.8141
16288.9;58.9881;66.3596;59.2378
17103.4;59.3969;66.9494;59.6616
17958.6;59.8898;67.5763;60.0854
18856.5;60.2859;68.0957;60.5092
19799.3;60.6482;68.6147;60.933
20789.3;61.0947;69.1453;61.3568
21828.7;61.5033;69.575;61.7806
22920.2;61.9919;70.1133;62.2044
24066.2;62.3471;70.5412;62.6282
25269.5;62.8678;71.0455;63.0519
26533;63.2184;71.4205;63.4757
27859.6;63.6308;71.9459;63.8995
29252.6;64.0297;72.3321;64.3233
30715.2;64.5352;72.8417;64.7471
32251;64.9011;73.2443;65.1709
33863.5;65.2962;73.6921;65.5946
35556.7;65.7775;74.1012;66.0184
37334.6;66.1599;74.5268;66.4422
39201.3;66.598;75.0258;66.866
41161.4;67.0084;75.419;67.2898
43219.4;67.4541;75.8421;67.7136
45380.4;67.8681;76.2539;68.1374
47649.4;68.2849;76.6889;68.5611
50031.9;68.7329;77.2062;68.9849
52533.5;69.1349;77.5916;69.4087
55160.2;69.5357;78.0101;69.8325
57918.2;70.0389;78.4862;70.2563
60814.1;70.3964;78.8681;70.6801
63854.8;70.8564;79.349;71.1039
67047.5;71.248;79.744;71.5277
70399.9;71.673;80.1242;71.9514
73919.9;72.0925;80.5248;72.3752
77615.9;72.5149;80.9237;72.799
81496.7;72.995;81.289;73.2228
85571.5;73.3762;81.6741;73.6466
89850.1;73.8152;82.1713;74.0704
94342.6;74.263;82.6612;74.4942
99059.7;74.6485;83.0711;74.9179
104013;75.0911;83.5695;75.3418
109213;75.4938;83.9724;75.7655
114674;75.9034;84.4016;76.1893
120408;76.3507;84.9093;76.6131
126428;76.8176;85.4068;77.0369
132749;77.1641;85.8283;77.4606
139387;77.6183;86.247;77.8844
146356;78.0507;86.7482;78.3082
153674;78.4762;87.1078;78.732
161358;78.892;87.4685;79.1558
169426;79.2939;87.8761;79.5796
177897;79.7557;88.4044;80.0034
186792;80.1828;88.9099;80.4272
196131;80.5639;89.3324;80.8509
205938;81.0058;89.737;81.2747
216235;81.4425;90.1188;81.6985
227047;81.837;90.5028;82.1223
238399;82.2775;90.9012;82.5461
250319;82.7074;91.2727;82.9699
262835;83.1035;91.6504;83.3937
275977;83.5897;92.132;83.8175
289775;83.9502;92.5417;84.2412
304264;84.4207;93.0435;84.665
319477;84.8385;93.5313;85.0888
335451;85.2363;93.9659;85.5126
352224;85.6812;94.4862;85.9364
369835;86.1152;95.0017;86.3602
388327;86.5393;95.499;86.784
407743;86.9213;95.9046;87.2077
428130;87.3496;96.1865;87.6315
449537;87.7633;96.562;88.0553
472014;88.2154;96.932;88.4791
495614;88.6451;97.2899;88.9029
520395;89.0307;97.5871;89.3267
546415;89.4751;97.981;89.7505
573736;89.9069;98.3812;90.1742
602422;90.336;98.7726;90.598
632544;90.7421;99.1559;91.0218
664171;91.1515;99.4906;91.4456
697379;91.5905;99.9045;91.8694
732248;92.003;100.323;92.2932
768861;92.429;100.736;92.717
807304;92.8756;101.088;93.1407
847669;93.3072;101.581;93.5645
890052;93.7244;101.977;93.9883
934555;94.1379;102.395;94.4121
981283;94.5401;102.835;94.8359
1.03035e+06;94.783;103.066;95
1.08186e+06;94.7551;103.066;95
1.13596e+06;94.7372;103.066;95
1.19276e+06;94.7459;103.126;95
1.25239e+06;94.755;103.126;95
1.31501e+06;94.7361;103.126;95
1.38076e+06;94.7363;103.126;95
