Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
1.4498e+06;94.7475;103.187;95
1.52229e+06;94.7596;103.187;95
1.59841e+06;94.7179;103.187;95
1.67833e+06;94.7058;103.187;95
1.76224e+06;94.7194;103.187;95
1.85035e+06;94.7099;103.187;95
1.94287e+06;94.7445;103.251;95
2.04002e+06;94.7012;103.251;95
2.14202e+06;94.7216;103.317;95
2.24912e+06;94.7223;103.383;95
2.36157e+06;94.7257;103.454;95
2.47965e+06;94.7378;103.519;95
2.60363e+06;94.7505;103.586;95
2.73382e+06;94.7374;103.649;95
2.87051e+06;94.7595;103.789;95
3.01403e+06;94.7313;103.861;95
3.16473e+06;94.7465;104.012;95
3.32297e+06;94.7256;104.163;95
3.48912e+06;94.7074;104.237;95
3.66358e+06;94.7427;104.386;95
3.84675e+06;94.7155;104.459;95
4.03909e+06;94.7073;104.526;95
4.24105e+06;94.7423;104.662;95
4.4531e+06;94.7455;104.662;95
4.67575e+06;94.7736;104.662;95
4.90954e+06;94.7332;104.73;95
5.15502e+06;94.7544;104.973;95
5.41277e+06;94.758;105.49;95
5.68341e+06;94.7011;106.168;95
5.96758e+06;94.3784;106.61;95
6.26596e+06;94.1743;106.61;95
6.57926e+06;93.4867;107.27;95
6.90822e+06;92.9909;108.007;95
7.25363e+06;92.9269;107.775;95
7.61631e+06;92.2595;107.775;95
7.99713e+06;91.8469;105.548;95
8.39698e+06;91.0627;106.655;95
8.81683e+06;90.5314;106.655;95
9.25767e+06;90.0249;106.655;95
9.72056e+06;89.6819;106.655;95
1.02066e+07;89.1991;106.655;95
1.07169e+07;88.6884;106.655;95
1.12528e+07;88.1947;106.655;95
1.18154e+07;87.608;106.655;95
1.24062e+07;86.9914;106.655;95
1.30265e+07;86.9835;106.655;95
1.36778e+07;86.1871;106.655;95
1.43617e+07;84.9723;106.655;95
1.50798e+07;84.0022;106.655;95
1.58338e+07;82.8538;106.655;95
1.66255e+07;81.6653;106.75;95
1.74567e+07;80.1539;106.798;95
1.83296e+07;78.1552;106.846;95
1.9246e+07;75.1707;106.89;95
2.02083e+07;70.0656;107.046;95
2.12188e+07;65.8966;107.265;95
2.22797e+07;76.0824;107.35;95
2.33937e+07;71.2069;107.35;95
2.45634e+07;77.3874;107.35;95
2.57915e+07;81.3539;107.35;95
2.70811e+07;84.9019;107.35;95
2.84352e+07;88.5909;107.35;95
2.98569e+07;92.6568;107.35;95
3.13498e+07;95.1085;106.315;94.8116
3.29173e+07;94.8477;104.23;94.6058
3.45631e+07;94.6608;103.712;94.4001
3.62913e+07;93.9233;105.137;94.1943
3.81058e+07;91.6002;106.92;93.9886
4.00111e+07;90.2557;106.673;93.7828
4.20117e+07;87.1955;106.271;93.5771
4.41123e+07;84.2884;105.925;93.3713
4.63179e+07;80.6986;105.811;93.1656
4.86338e+07;75.7284;105.577;92.9598
5.10655e+07;67.3646;105.47;92.7541
5.36187e+07;70.8846;105.47;92.5483
5.62997e+07;80.0935;105.946;92.3426
5.91147e+07;86.2545;106.482;92.1368
6.20704e+07;92.1843;103.653;91.9311
6.51739e+07;84.5394;104.771;91.7253
6.84326e+07;91.8188;103.031;91.5196
7.18542e+07;91.582;99.3192;91.3138
7.5447e+07;89.2204;101.356;91.1081
7.92193e+07;85.2916;102.372;90.9024
8.31803e+07;81.0399;103.937;90.6966
8.73393e+07;77.3481;104.089;90.4909
9.17062e+07;71.5927;105.131;90.2851
9.62916e+07;77.353;105.08;90.0794
1.01106e+08;77.0249;102.852;89.8736
1.06161e+08;82.7641;102.852;89.6679
1.1147e+08;79.6794;102.743;89.4621
1.17043e+08;82.4363;103.715;89.2564
1.22895e+08;87.2173;102.584;89.0506
1.2904e+08;86.278;102.675;88.8449
1.35492e+08;81.7905;101.69;88.6391
1.42266e+08;76.2012;103.195;88.4334
1.4938e+08;70.7508;103.195;88.2276
1.56849e+08;75.2034;102.45;88.0219
1.64691e+08;76.0223;103.746;87.8161
1.72926e+08;63.661;102.531;87.6104
1.81572e+08;83.1733;102.482;87.4046
1.90651e+08;86.28;101.742;87.1989
2e+08;80.2955;101.284;86.997
