RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y);Trace 3  (X);Trace 3  (Y);Trace 4  (X);Trace 4  (Y);Trace 5  (X);Trace 5  (Y);Trace 6  (X);Trace 6  (Y);Trace 7 Už asi 7. (X);Trace 7 Už asi 7. (Y);Trace 8 Už asi 7. (X);Trace 8 Už asi 7. (Y);Trace 9 Už asi 7. (X);Trace 9 Už asi 7. (Y);Trace 10 Už asi 7. (X);Trace 10 Už asi 7. (Y);Trace 11 Už asi 11. (X);Trace 11 Už asi 11. (Y)
34663016,4101;34,0000;34663016,4101;24,0000;34663016,4101;44,0000;30640000,0000;13,7710;30640000,0000;14,4096;30640000,0000;13,0206;30640000,0000;12,1888;30640000,0000;13,0206;30640000,0000;13,3907;30640000,0000;13,7710;30640000,0000;12,6647;30640000,0000;12,9026;30640000,0000;13,8971;30640000,0000;13,3907
34977432,0354;34,0000;34977432,0354;24,0000;34977432,0354;44,0000;30680000,0000;14,0280;30680000,0000;13,1454;30680000,0000;13,7758;30680000,0000;14,1561;30680000,0000;13,2674;30680000,0000;13,1454;30680000,0000;12,9074;30680000,0000;13,1454;30680000,0000;13,6477;30680000,0000;12,7874;30680000,0000;13,2674
35294699,6106;34,0000;35294699,6106;24,0000;35294699,6106;44,0000;30720000,0000;13,0302;30720000,0000;13,2722;30720000,0000;13,6525;30720000,0000;12,9122;30720000,0000;13,9067;30720000,0000;12,3163;30720000,0000;13,0302;30720000,0000;12,6743;30720000,0000;14,0328;30720000,0000;13,2722;30720000,0000;13,4003
35614845,0047;34,0000;35614845,0047;24,0000;35614845,0047;44,0000;30760000,0000;13,2770;30760000,0000;12,7970;30760000,0000;12,9170;30760000,0000;13,7854;30760000,0000;13,9115;30760000,0000;12,5591;30760000,0000;13,2770;30760000,0000;12,9170;30760000,0000;13,2770;30760000,0000;13,5312;30760000,0000;14,1657
35937894,3213;34,0000;35937894,3213;24,0000;35937894,3213;44,0000;30800000,0000;14,1705;30800000,0000;12,9218;30800000,0000;14,1705;30800000,0000;13,7902;30800000,0000;14,0424;30800000,0000;12,4459;30800000,0000;13,2818;30800000,0000;12,9218;30800000,0000;12,9218;30800000,0000;14,2986;30800000,0000;13,5360
36263873,9009;34,0000;36263873,9009;24,0000;36263873,9009;44,0000;30840000,0000;13,4147;30840000,0000;12,3307;30840000,0000;13,5408;30840000,0000;12,9266;30840000,0000;14,0472;30840000,0000;12,4507;30840000,0000;13,1646;30840000,0000;14,6939;30840000,0000;12,3307;30840000,0000;13,0446;30840000,0000;12,3307
36592810,3228;34,0000;36592810,3228;24,0000;36592810,3228;44,0000;30880000,0000;12,6935;30880000,0000;12,9314;30880000,0000;13,6717;30880000,0000;13,2914;30880000,0000;14,3082;30880000,0000;13,1693;30880000,0000;14,3082;30880000,0000;12,5735;30880000,0000;13,7998;30880000,0000;13,5456;30880000,0000;15,2173
36924730,4074;34,0000;36924730,4074;24,0000;36924730,4074;44,0000;30920000,0000;13,0542;30920000,0000;14,0568;30920000,0000;13,1741;30920000,0000;13,0542;30920000,0000;13,2962;30920000,0000;12,5783;30920000,0000;13,9307;30920000,0000;12,9362;30920000,0000;13,5504;30920000,0000;14,1849;30920000,0000;12,9362
37259661,2185;34,0000;37259661,2185;24,0000;37259661,2185;44,0000;30960000,0000;13,4291;30960000,0000;14,1897;30960000,0000;12,8210;30960000,0000;12,2272;30960000,0000;12,9410;30960000,0000;12,9410;30960000,0000;14,1897;30960000,0000;13,9355;30960000,0000;12,7031;30960000,0000;13,3010;30960000,0000;14,3178
37597630,0653;34,0000;37597630,0653;24,0000;37597630,0653;44,0000;31000000,0000;13,8142;31000000,0000;14,1945;31000000,0000;13,8142;31000000,0000;13,5600;31000000,0000;14,4528;31000000,0000;13,0638;31000000,0000;13,9403;31000000,0000;13,4339;31000000,0000;12,8258;31000000,0000;13,6861;31000000,0000;12,5879
37938664,5046;34,0000;37938664,5046;24,0000;37938664,5046;44,0000;31040000,0000;13,5648;31040000,0000;12,8306;31040000,0000;13,0686;31040000,0000;12,9506;31040000,0000;12,7127;31040000,0000;13,5648;31040000,0000;13,8190;31040000,0000;14,1993;31040000,0000;13,5648;31040000,0000;14,5878;31040000,0000;13,0686
38282792,3435;34,0000;38282792,3435;24,0000;38282792,3435;44,0000;31080000,0000;12,4795;31080000,0000;13,3154;31080000,0000;13,0734;31080000,0000;13,6957;31080000,0000;12,8354;31080000,0000;14,0760;31080000,0000;12,5975;31080000,0000;12,5975;31080000,0000;13,8238;31080000,0000;12,7175;31080000,0000;14,7227
38630041,6409;34,0000;38630041,6409;24,0000;38630041,6409;44,0000;31120000,0000;14,2089;31120000,0000;12,6023;31120000,0000;12,7223;31120000,0000;12,7223;31120000,0000;13,1982;31120000,0000;13,3202;31120000,0000;13,4483;31120000,0000;13,3202;31120000,0000;13,4483;31120000,0000;13,7005;31120000,0000;12,8402
38980440,7104;34,0000;38980440,7104;24,0000;38980440,7104;44,0000;31160000,0000;12,8450;31160000,0000;13,5792;31160000,0000;14,4720;31160000,0000;12,8450;31160000,0000;12,9650;31160000,0000;13,2029;31160000,0000;13,2029;31160000,0000;13,9595;31160000,0000;12,8450;31160000,0000;13,5792;31160000,0000;13,2029
39334018,1226;34,0000;39334018,1226;24,0000;39334018,1226;44,0000;31200000,0000;13,7101;31200000,0000;12,6119;31200000,0000;12,9698;31200000,0000;12,9698;31200000,0000;14,0904;31200000,0000;13,9643;31200000,0000;14,6070;31200000,0000;13,8382;31200000,0000;12,6119;31200000,0000;13,2078;31200000,0000;13,2078
39690802,7071;34,0000;39690802,7071;24,0000;39690802,7071;44,0000;31240000,0000;12,6167;31240000,0000;13,2126;31240000,0000;12,4987;31240000,0000;14,3514;31240000,0000;12,8546;31240000,0000;12,3787;31240000,0000;14,3514;31240000,0000;12,0045;31240000,0000;12,8546;31240000,0000;13,0926;31240000,0000;13,0926
40050823,5548;34,0000;40050823,5548;24,0000;40050823,5548;44,0000;31280000,0000;13,8478;31280000,0000;13,7197;31280000,0000;13,8478;31280000,0000;13,7197;31280000,0000;13,2174;31280000,0000;13,9739;31280000,0000;13,0974;31280000,0000;13,8478;31280000,0000;12,9794;31280000,0000;14,4864;31280000,0000;14,2281
40414110,0208;34,0000;40414110,0208;24,0000;40414110,0208;44,0000;31320000,0000;14,6214;31320000,0000;13,4723;31320000,0000;12,7463;31320000,0000;12,6263;31320000,0000;12,7463;31320000,0000;13,7245;31320000,0000;13,7245;31320000,0000;12,9842;31320000,0000;13,4723;31320000,0000;13,4723;31320000,0000;13,1022
40780691,7264;34,0000;40780691,7264;24,0000;40780691,7264;44,0000;31360000,0000;14,6262;31360000,0000;12,9890;31360000,0000;12,7511;31360000,0000;13,4771;31360000,0000;14,2377;31360000,0000;12,6311;31360000,0000;13,3490;31360000,0000;12,9890;31360000,0000;13,2270;31360000,0000;12,9890;31360000,0000;15,0166
41150598,5613;34,0000;41150598,5613;24,0000;41150598,5613;44,0000;31400000,0000;13,8622;31400000,0000;13,1118;31400000,0000;13,2318;31400000,0000;13,1118;31400000,0000;12,9938;31400000,0000;13,3538;31400000,0000;14,1144;31400000,0000;15,2797;31400000,0000;13,6080;31400000,0000;13,6080;31400000,0000;13,2318
41523860,6868;34,0000;41523860,6868;24,0000;41523860,6868;44,0000;31440000,0000;12,7607;31440000,0000;14,2473;31440000,0000;13,6128;31440000,0000;13,2366;31440000,0000;13,8670;31440000,0000;13,4867;31440000,0000;13,9931;31440000,0000;12,9986;31440000,0000;13,6128;31440000,0000;13,2366;31440000,0000;14,2473
41900508,5373;34,0000;41900508,5373;24,0000;41900508,5373;44,0000;31480000,0000;14,3802;31480000,0000;13,3634;31480000,0000;13,7437;31480000,0000;13,2414;31480000,0000;13,1214;31480000,0000;13,1214;31480000,0000;13,7437;31480000,0000;13,0034;31480000,0000;13,9979;31480000,0000;13,3634;31480000,0000;14,5104
42280572,8236;34,0000;42280572,8236;24,0000;42280572,8236;44,0000;31520000,0000;12,4123;31520000,0000;13,7485;31520000,0000;12,8882;31520000,0000;14,0027;31520000,0000;14,0027;31520000,0000;13,2462;31520000,0000;13,1262;31520000,0000;12,4123;31520000,0000;13,6224;31520000,0000;13,3682;31520000,0000;13,6224
42664084,5350;34,0000;42664084,5350;24,0000;42664084,5350;44,0000;31560000,0000;13,7533;31560000,0000;13,0130;31560000,0000;13,1310;31560000,0000;12,7751;31560000,0000;14,6502;31560000,0000;13,2510;31560000,0000;12,6551;31560000,0000;12,5371;31560000,0000;13,1310;31560000,0000;13,8814;31560000,0000;12,8930
43051074,9417;34,0000;43051074,9417;24,0000;43051074,9417;44,0000;31600000,0000;13,2558;31600000,0000;13,6320;31600000,0000;14,1384;31600000,0000;13,5059;31600000,0000;12,5419;31600000,0000;13,5059;31600000,0000;14,1384;31600000,0000;13,0178;31600000,0000;12,7799;31600000,0000;13,6320;31600000,0000;13,7581
