Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
1.25239e+06;94.7184;102.787;95
1.31501e+06;94.728;102.855;95
1.38076e+06;94.72;102.855;95
1.4498e+06;94.7393;102.919;95
1.52229e+06;94.7596;102.919;95
1.59841e+06;94.7362;102.919;95
1.67833e+06;94.7221;102.919;95
1.76224e+06;94.7377;102.919;95
1.85035e+06;94.7364;102.919;95
1.94287e+06;94.7628;102.919;95
2.04002e+06;94.754;102.919;95
2.14202e+06;94.7562;102.919;95
2.24912e+06;94.7406;102.984;95
2.36157e+06;94.7074;102.984;95
2.47965e+06;94.746;103.045;95
2.60363e+06;94.7058;103.045;95
2.73382e+06;94.7456;103.107;95
2.87051e+06;94.7595;103.245;95
3.01403e+06;94.7049;103.245;95
3.16473e+06;94.7546;103.387;95
3.32297e+06;94.7256;103.454;95
3.48912e+06;94.7074;103.527;95
3.66358e+06;94.7773;103.66;95
3.84675e+06;94.742;103.66;95
4.03909e+06;94.7601;103.66;95
4.24105e+06;94.7261;103.66;95
4.4531e+06;94.7882;103.66;95
4.67575e+06;94.8509;103.66;95
4.90954e+06;94.8105;103.66;95
5.15502e+06;94.7097;103.73;95
5.41277e+06;94.758;104.246;95
5.68341e+06;94.7194;104.955;95
5.96758e+06;94.7424;105.659;95
6.26596e+06;94.7213;105.805;95
6.57926e+06;94.7537;107.052;95
6.90822e+06;94.4878;108.007;95
7.25363e+06;94.497;107.775;95
7.61631e+06;93.8967;107.775;95
7.99713e+06;93.5146;105.548;95
8.39698e+06;92.765;106.655;95
8.81683e+06;92.2966;106.655;95
9.25767e+06;91.8147;106.655;95
9.72056e+06;91.5449;106.655;95
1.02066e+07;91.1109;106.655;95
1.07169e+07;90.6552;106.655;95
1.12528e+07;90.2813;106.655;95
1.18154e+07;89.8065;106.655;95
1.24062e+07;89.2183;106.655;95
1.30265e+07;88.281;106.655;95
1.36778e+07;89.8254;106.655;95
1.43617e+07;88.0738;106.655;95
1.50798e+07;87.3111;106.655;95
1.58338e+07;86.5308;106.655;95
1.66255e+07;85.8284;106.75;95
1.74567e+07;85.0472;106.798;95
1.83296e+07;84.1365;106.846;95
1.9246e+07;83.0027;106.89;95
2.02083e+07;81.416;107.046;95
2.12188e+07;79.0041;107.265;95
2.22797e+07;81.3905;107.35;95
2.33937e+07;78.1094;107.35;95
2.45634e+07;73.9727;107.35;95
2.57915e+07;68.6632;107.35;95
2.70811e+07;62.3232;107.35;95
2.84352e+07;69.1137;107.35;95
2.98569e+07;75.4309;107.35;95
3.13498e+07;79.7597;107.173;94.8116
3.29173e+07;83.1435;107.067;94.6058
3.45631e+07;86.361;107.027;94.4001
3.62913e+07;85.8269;107.027;94.1943
3.81058e+07;85.3402;106.92;93.9886
4.00111e+07;81.4639;106.673;93.7828
4.20117e+07;84.4357;106.271;93.5771
4.41123e+07;86.8977;105.925;93.3713
4.63179e+07;89.2953;105.811;93.1656
4.86338e+07;90.7803;105.577;92.9598
5.10655e+07;90.8037;105.47;92.7541
5.36187e+07;86.7173;105.47;92.5483
5.62997e+07;86.9148;105.946;92.3426
5.91147e+07;92.2826;105.946;92.1368
6.20704e+07;90.3112;106.311;91.9311
6.51739e+07;89.8474;104.771;91.7253
6.84326e+07;91.7781;99.1289;91.5196
7.18542e+07;91.582;97.6835;91.3138
7.5447e+07;90.8393;100.299;91.1081
7.92193e+07;88.1551;102.372;90.9024
8.31803e+07;83.0778;103.937;90.6966
8.73393e+07;76.7827;104.089;90.4909
9.17062e+07;85.345;105.131;90.2851
9.62916e+07;79.6349;105.08;90.0794
1.01106e+08;77.3991;102.852;89.8736
1.06161e+08;75.5646;102.852;89.6679
1.1147e+08;85.6505;102.743;89.4621
1.17043e+08;88.9728;103.627;89.2564
1.22895e+08;89.3061;98.9454;89.0506
1.2904e+08;88.6392;100.575;88.8449
1.35492e+08;85.2702;101.69;88.6391
1.42266e+08;81.3893;103.195;88.4334
1.4938e+08;81.2144;103.195;88.2276
1.56849e+08;82.5758;102.45;88.0219
1.64691e+08;83.5431;103.746;87.8161
1.72926e+08;78.7494;102.531;87.6104
1.81572e+08;83.0656;102.482;87.4046
1.90651e+08;87.4209;101.742;87.1989
2e+08;84.6417;101.284;86.997
