Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
10000;55.0845;59.6786;55
10500;55.384;60.6797;55.4238
11025;55.8347;61.4724;55.8476
11576.3;56.04;61.952;56.2714
12155.1;56.4984;62.8238;56.6952
12762.8;56.8396;63.4073;57.1189
13401;57.3605;63.9803;57.5427
14071;57.6951;64.578;57.9665
14774.6;58.1951;65.2556;58.3903
15513.3;58.578;65.6658;58.8141
16288.9;58.9474;66.1804;59.2378
17103.4;59.3847;66.8492;59.6616
17958.6;59.8471;67.3914;60.0854
18856.5;60.2168;67.9027;60.5092
19799.3;60.6401;68.3672;60.933
20789.3;61.0784;68.9503;61.3568
21828.7;61.5175;69.4692;61.7806
22920.2;61.9797;69.979;62.2044
24066.2;62.3349;70.3995;62.6282
25269.5;62.7783;70.9014;63.0519
26533;63.198;71.2875;63.4757
27859.6;63.6308;71.8067;63.8995
29252.6;64.1294;72.276;64.3233
30715.2;64.4742;72.6591;64.7471
32251;64.9295;73.1469;65.1709
33863.5;65.2962;73.5715;65.5946
35556.7;65.7429;73.9876;66.0184
37334.6;66.2026;74.4904;66.4422
39201.3;66.655;74.9817;66.866
41161.4;67.0165;75.3907;67.2898
43219.4;67.4541;75.7947;67.7136
45380.4;67.8823;76.2004;68.1374
47649.4;68.2727;76.6163;68.5611
50031.9;68.6861;77.0713;68.9849
52533.5;69.1349;77.4747;69.4087
55160.2;69.5357;77.9078;69.8325
57918.2;69.9575;78.3392;70.2563
60814.1;70.3801;78.7536;70.6801
63854.8;70.8259;79.1603;71.1039
67047.5;71.2358;79.5812;71.5277
70399.9;71.673;79.9871;71.9514
73919.9;72.0925;80.4044;72.3752
77615.9;72.5048;80.8163;72.799
81496.7;72.9564;81.1328;73.2228
85571.5;73.3498;81.5484;73.6466
89850.1;73.8314;82.0484;74.0704
94342.6;74.2182;82.4559;74.4942
99059.7;74.675;82.9559;74.9179
104013;75.0667;83.3716;75.3418
109213;75.506;83.8703;75.7655
114674;75.9135;84.278;76.1893
120408;76.3812;84.7703;76.6131
126428;76.8034;85.2494;77.0369
132749;77.1763;85.6705;77.4606
139387;77.6183;86.1084;77.8844
146356;78.0629;86.6254;78.3082
153674;78.466;86.9058;78.732
161358;78.892;87.2779;79.1558
169426;79.3122;87.6972;79.5796
177897;79.7557;88.2036;80.0034
186792;80.1686;88.712;80.4272
196131;80.5639;89.1454;80.8509
205938;80.9814;89.5472;81.2747
216235;81.4099;89.955;81.6985
227047;81.8471;90.3366;82.1223
238399;82.2775;90.7288;82.5461
250319;82.6911;91.0528;82.9699
262835;83.1035;91.4744;83.3937
275977;83.5653;91.9612;83.8175
289775;84.0315;92.4414;84.2412
304264;84.4004;92.8431;84.665
319477;84.8487;93.3455;85.0888
335451;85.2464;93.7606;85.5126
352224;85.7158;94.2663;85.9364
369835;86.0644;94.6957;86.3602
388327;86.525;95.2284;86.784
407743;86.9356;95.6312;87.2077
428130;87.4188;96.0007;87.6315
449537;87.7633;96.2532;88.0553
472014;88.2276;96.613;88.4791
495614;88.6675;96.966;88.9029
520395;89.0876;97.3293;89.3267
546415;89.5076;97.681;89.7505
573736;89.9069;98.0604;90.1742
602422;90.3564;98.4352;90.598
632544;90.7604;98.8086;91.0218
664171;91.1515;99.1108;91.4456
697379;91.5905;99.5275;91.8694
732248;92.003;99.9411;92.2932
768861;92.4412;100.357;92.717
807304;92.898;100.857;93.1407
847669;93.3174;101.225;93.5645
890052;93.7142;101.631;93.9883
934555;94.1481;102.132;94.4121
981283;94.5483;102.547;94.8359
1.03035e+06;94.7098;102.725;95
1.08186e+06;94.7368;102.787;95
1.13596e+06;94.7372;102.787;95
1.19276e+06;94.7276;102.787;95
