RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y)
47546795,7738;34,0000;47546795,7738;24,0000;47546795,7738;44,0000;32040000,0000;29,8978;32040000,0000;28,6023
47978075,4798;34,0000;47978075,4798;24,0000;47978075,4798;44,0000;32080000,0000;28,6071;32080000,0000;28,8674
48413267,1673;34,0000;48413267,1673;24,0000;48413267,1673;44,0000;32120000,0000;28,4818;32120000,0000;27,5544
48852406,3204;34,0000;48852406,3204;24,0000;48852406,3204;44,0000;32160000,0000;27,8256;32160000,0000;29,9122
49295528,7452;34,0000;49295528,7452;24,0000;49295528,7452;44,0000;32200000,0000;28,6215;32200000,0000;30,5556
49742670,5725;34,0000;49742670,5725;24,0000;49742670,5725;44,0000;32240000,0000;27,4366;32240000,0000;26,7715
50193868,2608;34,0000;50193868,2608;24,0000;50193868,2608;44,0000;32280000,0000;29,0216;32280000,0000;29,2819
50649158,5993;34,0000;50649158,5993;24,0000;50649158,5993;44,0000;32320000,0000;27,7126;32320000,0000;29,2867
51108578,7111;34,0000;51108578,7111;24,0000;51108578,7111;44,0000;32360000,0000;27,1846;32360000,0000;27,1846
51572166,0558;34,0000;51572166,0558;24,0000;51572166,0558;44,0000;32400000,0000;27,3236;32400000,0000;28,1208
52039958,4327;34,0000;52039958,4327;24,0000;52039958,4327;44,0000;32440000,0000;26,5312;32440000,0000;27,5928
52511993,9844;34,0000;52511993,9844;24,0000;52511993,9844;44,0000;32480000,0000;26,2756;32480000,0000;27,5976
52988311,1990;34,0000;52988311,1990;24,0000;52988311,1990;44,0000;32520000,0000;27,2038;32520000,0000;26,9394
53468948,9140;34,0000;53468948,9140;24,0000;53468948,9140;44,0000;32560000,0000;27,8736;32560000,0000;26,2852
53953946,3190;34,0000;53953946,3190;24,0000;53953946,3190;44,0000;32600000,0000;27,8784;32600000,0000;25,2549
54443342,9592;34,0000;54443342,9592;24,0000;54443342,9592;44,0000;32640000,0000;28,8045;32640000,0000;25,7783
54937178,7385;34,0000;54937178,7385;24,0000;54937178,7385;44,0000;32680000,0000;25,3946;32680000,0000;27,8880
55435493,9227;34,0000;55435493,9227;24,0000;55435493,9227;44,0000;32720000,0000;26,8291;32720000,0000;26,0462
55938329,1428;34,0000;55938329,1428;24,0000;55938329,1428;44,0000;32760000,0000;25,1459;32760000,0000;26,0509
56445725,3985;34,0000;56445725,3985;24,0000;56445725,3985;44,0000;32800000,0000;26,5744;32800000,0000;26,0557
56957724,0612;34,0000;56957724,0612;24,0000;56957724,0612;44,0000;32840000,0000;28,3058;32840000,0000;25,6741
57474366,8778;34,0000;57474366,8778;24,0000;57474366,8778;44,0000;32880000,0000;27,2470;32880000,0000;27,9120
57995695,9736;34,0000;57995695,9736;24,0000;57995695,9736;44,0000;32920000,0000;28,9682;32920000,0000;27,6504
58521753,8561;34,0000;58521753,8561;24,0000;58521753,8561;44,0000;32960000,0000;29,2334;32960000,0000;28,8429
59052583,4186;34,0000;59052583,4186;24,0000;59052583,4186;44,0000;33000000,0000;29,4985;33000000,0000;29,2382
59588227,9431;34,0000;59588227,9431;24,0000;59588227,9431;44,0000;33040000,0000;33,3776;33040000,0000;30,6564
60128731,1044;34,0000;60128731,1044;24,0000;60128731,1044;44,0000;33080000,0000;30,0226;33080000,0000;30,9154
60674136,9735;34,0000;60674136,9735;24,0000;60674136,9735;44,0000;33120000,0000;30,5399;33120000,0000;29,5129
61224490,0211;34,0000;61224490,0211;24,0000;61224490,0211;44,0000;33160000,0000;27,9456;33160000,0000;29,1272
61779835,1211;34,0000;61779835,1211;24,0000;61779835,1211;44,0000;33200000,0000;28,7415;33200000,0000;27,4196
62340217,5547;34,0000;62340217,5547;24,0000;62340217,5547;44,0000;33240000,0000;27,6888;33240000,0000;27,6888
62905683,0138;34,0000;62905683,0138;24,0000;62905683,0138;44,0000;33280000,0000;27,4292;33280000,0000;27,1628
63476277,6045;34,0000;63476277,6045;24,0000;63476277,6045;44,0000;33320000,0000;27,5662;33320000,0000;26,6368
64052047,8514;34,0000;64052047,8514;24,0000;64052047,8514;44,0000;33360000,0000;28,5004;33360000,0000;26,6416
64633040,7010;34,0000;64633040,7010;24,0000;64633040,7010;44,0000;33400000,0000;27,4436;33400000,0000;27,9744
65219303,5255;34,0000;65219303,5255;24,0000;65219303,5255;44,0000;33440000,0000;27,8470;33440000,0000;26,9155
65810884,1272;34,0000;65810884,1272;24,0000;65810884,1272;44,0000;33480000,0000;27,7176;33480000,0000;26,6560
66407830,7414;34,0000;66407830,7414;24,0000;66407830,7414;44,0000;33520000,0000;29,1704;33520000,0000;28,2552
67010192,0415;34,0000;67010192,0415;24,0000;67010192,0415;44,0000;33560000,0000;29,0450;33560000,0000;29,5657
67618017,1420;34,0000;67618017,1420;24,0000;67618017,1420;44,0000;33600000,0000;29,8288;33600000,0000;28,7895
68231355,6032;34,0000;68231355,6032;24,0000;68231355,6032;44,0000;33640000,0000;29,5753;33640000,0000;27,6046
68850257,4346;34,0000;68850257,4346;24,0000;68850257,4346;44,0000;33680000,0000;30,4810;33680000,0000;29,1896
69474773,0997;34,0000;69474773,0997;24,0000;69474773,0997;44,0000;33720000,0000;29,3246;33720000,0000;30,7380
70104953,5193;34,0000;70104953,5193;24,0000;70104953,5193;44,0000;33760000,0000;29,5897;33760000,0000;29,5897
70740850,0766;34,0000;70740850,0766;24,0000;70740850,0766;44,0000;33800000,0000;29,4643;33800000,0000;28,4210
71382514,6205;34,0000;71382514,6205;24,0000;71382514,6205;44,0000;33840000,0000;30,6263;33840000,0000;29,0786
72029999,4702;34,0000;72029999,4702;24,0000;72029999,4702;44,0000;33880000,0000;28,4306;33880000,0000;30,3749
72683357,4197;34,0000;72683357,4197;24,0000;72683357,4197;44,0000;33920000,0000;28,8279;33920000,0000;29,0882
73342641,7418;34,0000;73342641,7418;24,0000;73342641,7418;44,0000;33960000,0000;29,8720;33960000,0000;28,9629
74007906,1924;34,0000;74007906,1924;24,0000;74007906,1924;44,0000;34000000,0000;30,3893;34000000,0000;29,0978
74679205,0150;34,0000;74679205,0150;24,0000;74679205,0150;44,0000;34040000,0000;30,2659;34040000,0000;30,0097
75356592,9453;34,0000;75356592,9453;24,0000;75356592,9453;44,0000;34080000,0000;30,5290;34080000,0000;30,2707
76040125,2153;34,0000;76040125,2153;24,0000;76040125,2153;44,0000;34120000,0000;30,7860;34120000,0000;29,1122
76729857,5582;34,0000;76729857,5582;24,0000;76729857,5582;44,0000;34160000,0000;30,5386;34160000,0000;28,9869
77425846,2125;34,0000;77425846,2125;24,0000;77425846,2125;44,0000;34200000,0000;30,5434;34200000,0000;28,0704
78128147,9270;34,0000;78128147,9270;24,0000;78128147,9270;44,0000;34240000,0000;28,0752;34240000,0000;29,3870
78836819,9651;34,0000;78836819,9651;24,0000;78836819,9651;44,0000;34280000,0000;28,4786;34280000,0000;28,6108
79551920,1098;34,0000;79551920,1098;24,0000;79551920,1098;44,0000;34320000,0000;28,6156;34320000,0000;28,3512
80273506,6680;34,0000;80273506,6680;24,0000;80273506,6680;44,0000;34360000,0000;29,1410;34360000,0000;28,8807
81001638,4756;34,0000;81001638,4756;24,0000;81001638,4756;44,0000;34400000,0000;29,6665;34400000,0000;29,4062
81736374,9022;34,0000;81736374,9022;24,0000;81736374,9022;44,0000;34440000,0000;29,5411;34440000,0000;29,2808
82477775,8560;34,0000;82477775,8560;24,0000;82477775,8560;44,0000;34480000,0000;29,0253;34480000,0000;29,1554
83225901,7884;34,0000;83225901,7884;24,0000;83225901,7884;44,0000;34520000,0000;29,4206;34520000,0000;28,3752
83980813,6993;34,0000;83980813,6993;24,0000;83980813,6993;44,0000;34560000,0000;29,1650;34560000,0000;27,8472
84742573,1418;34,0000;84742573,1418;24,0000;84742573,1418;44,0000;34600000,0000;27,9862;34600000,0000;27,4534
85511242,2273;34,0000;85511242,2273;24,0000;85511242,2273;44,0000;34640000,0000;27,4582;34640000,0000;30,0817
86286883,6308;34,0000;86286883,6308;24,0000;86286883,6308;44,0000;34680000,0000;27,5972;34680000,0000;27,0643
87069560,5956;34,0000;87069560,5956;24,0000;87069560,5956;44,0000;34720000,0000;28,1328;34720000,0000;29,1842
87859336,9388;34,0000;87859336,9388;24,0000;87859336,9388;44,0000;34760000,0000;28,1376;34760000,0000;27,3404
88656277,0561;34,0000;88656277,0561;24,0000;88656277,0561;44,0000;34800000,0000;28,2746;34800000,0000;28,5410
89460445,9276;34,0000;89460445,9276;24,0000;89460445,9276;44,0000;34840000,0000;29,1986;34840000,0000;27,0835
90271909,1227;34,0000;90271909,1227;24,0000;90271909,1227;44,0000;34880000,0000;27,3548;34880000,0000;27,3548
91090732,8056;34,0000;91090732,8056;24,0000;91090732,8056;44,0000;34920000,0000;29,2082;34920000,0000;26,6966
91916983,7406;34,0000;91916983,7406;24,0000;91916983,7406;44,0000;34960000,0000;28,0294;34960000,0000;29,6035
92750729,2975;34,0000;92750729,2975;24,0000;92750729,2975;44,0000;35000000,0000;28,4328;35000000,0000;27,6356
93592037,4574;34,0000;93592037,4574;24,0000;93592037,4574;44,0000;35040000,0000;29,0880;35040000,0000;29,4785
94440976,8179;34,0000;94440976,8179;24,0000;94440976,8179;44,0000;35080000,0000;28,4334;35080000,0000;28,9581
95297616,5988;34,0000;95297616,5988;24,0000;95297616,5988;44,0000;35120000,0000;27,2377;35120000,0000;29,3488
96162026,6478;34,0000;96162026,6478;24,0000;96162026,6478;44,0000;35160000,0000;27,6364;35160000,0000;27,7686
97034277,4463;34,0000;97034277,4463;24,0000;97034277,4463;44,0000;35200000,0000;28,5658;35200000,0000;26,3206
97914440,1148;34,0000;97914440,1148;24,0000;97914440,1148;44,0000;35240000,0000;28,9582;35240000,0000;27,9007
98802586,4190;34,0000;98802586,4190;24,0000;98802586,4190;44,0000;35280000,0000;32,6696;35280000,0000;27,3696
99698788,7756;34,0000;99698788,7756;24,0000;99698788,7756;44,0000;35320000,0000;33,2062;35320000,0000;29,6085
100603120,2581;34,0521;100603120,2581;24,0521;100603120,2581;44,0521;35360000,0000;32,9373;35360000,0000;28,8271
