Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
3.81058e+07;94.244;105.542;93.9886
4.00111e+07;93.4244;106.673;93.7828
4.20117e+07;91.5356;106.271;93.5771
4.41123e+07;89.8975;105.925;93.3713
4.63179e+07;87.8452;105.811;93.1656
4.86338e+07;86.2816;105.577;92.9598
5.10655e+07;88.1801;105.47;92.7541
5.36187e+07;88.7979;105.47;92.5483
5.62997e+07;86.8151;105.946;92.3426
5.91147e+07;88.7215;106.482;92.1368
6.20704e+07;92.1721;105.341;91.9311
6.51739e+07;91.8955;104.771;91.7253
6.84326e+07;91.7781;103.049;91.5196
7.18542e+07;91.2098;102.127;91.3138
7.5447e+07;89.1086;101.356;91.1081
7.92193e+07;87.5368;102.372;90.9024
8.31803e+07;85.1237;103.937;90.6966
8.73393e+07;83.7992;104.089;90.4909
9.17062e+07;82.931;105.131;90.2851
9.62916e+07;82.9378;105.08;90.0794
1.01106e+08;85.8779;102.852;89.8736
1.06161e+08;81.9181;102.852;89.6679
1.1147e+08;86.3379;102.743;89.4621
1.17043e+08;84.7019;103.715;89.2564
1.22895e+08;84.2969;102.584;89.0506
1.2904e+08;81.3482;102.675;88.8449
1.35492e+08;78.4856;101.69;88.6391
1.42266e+08;83.1505;103.195;88.4334
1.4938e+08;83.0571;103.195;88.2276
1.56849e+08;79.4336;102.45;88.0219
1.64691e+08;81.0131;103.746;87.8161
1.72926e+08;79.0829;102.531;87.6104
1.81572e+08;81.4609;102.482;87.4046
1.90651e+08;79.3652;101.742;87.1989
2e+08;80.3484;101.284;86.997
