RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
300000000,0000;43,5201;300000000,0000;33,5201;300000000,0000;53,5201;300000000,0000;17,6117
301419787,6926;43,5610;301419787,6926;33,5610;301419787,6926;53,5610;300040000,0000;19,4440
302846294,7089;43,6019;302846294,7089;33,6019;302846294,7089;53,6019;300080000,0000;16,7065
304279552,8488;43,6429;304279552,8488;33,6429;304279552,8488;53,6429;300120000,0000;18,6466
305719594,0630;43,6838;305719594,0630;33,6838;305719594,0630;53,6838;300160000,0000;19,1834
307166450,4531;43,7247;307166450,4531;33,7247;307166450,4531;53,7247;300200000,0000;16,7122
308620154,2729;43,7656;308620154,2729;33,7656;308620154,2729;53,7656;300240000,0000;17,8815
310080737,9287;43,8065;310080737,9287;33,8065;310080737,9287;53,8065;300280000,0000;17,1066
311548233,9801;43,8474;311548233,9801;33,8474;311548233,9801;53,8474;300320000,0000;18,5280
313022675,1409;43,8883;313022675,1409;33,8883;313022675,1409;53,8883;300360000,0000;16,8501
314504094,2799;43,9293;314504094,2799;33,9293;314504094,2799;53,9293;300400000,0000;18,4037
315992524,4210;43,9702;315992524,4210;33,9702;315992524,4210;53,9702;300440000,0000;17,8911
317487998,7447;44,0111;317487998,7447;34,0111;317487998,7447;54,0111;300480000,0000;17,7649
318990550,5886;44,0520;318990550,5886;34,0520;318990550,5886;54,0520;300520000,0000;17,6366
320500213,4479;44,0929;320500213,4479;34,0929;320500213,4479;54,0929;300560000,0000;18,9340
322017020,9764;44,1338;322017020,9764;34,1338;322017020,9764;54,1338;300600000,0000;16,8615
323541006,9870;44,1747;323541006,9870;34,1747;323541006,9870;54,1747;300640000,0000;18,1569
325072205,4529;44,2157;325072205,4529;34,2157;325072205,4529;54,2157;300680000,0000;17,2558
326610650,5080;44,2566;326610650,5080;34,2566;326610650,5080;54,2566;300720000,0000;19,7450
328156376,4475;44,2975;328156376,4475;34,2975;328156376,4475;54,2975;300760000,0000;18,4209
329709417,7293;44,3384;329709417,7293;34,3384;329709417,7293;54,3384;300800000,0000;17,6500
331269808,9741;44,3793;331269808,9741;34,3793;331269808,9741;54,3793;300840000,0000;17,2635
332837584,9665;44,4202;332837584,9665;34,4202;332837584,9665;54,4202;300880000,0000;17,0051
334412780,6557;44,4611;334412780,6557;34,4611;334412780,6557;54,4611;300920000,0000;17,6557
335995431,1565;44,5021;335995431,1565;34,5021;335995431,1565;54,5021;300960000,0000;17,6576
337585571,7496;44,5430;337585571,7496;34,5430;337585571,7496;54,5430;301000000,0000;17,5294
339183237,8828;44,5839;339183237,8828;34,5839;339183237,8828;54,5839;301040000,0000;17,4032
340788465,1718;44,6248;340788465,1718;34,6248;340788465,1718;54,6248;301080000,0000;19,0931
342401289,4006;44,6657;342401289,4006;34,6657;342401289,4006;54,6657;301120000,0000;17,4070
344021746,5226;44,7066;344021746,5226;34,7066;344021746,5226;54,7066;301160000,0000;17,6672
345649872,6617;44,7475;345649872,6617;34,7475;345649872,6617;54,7475;301200000,0000;18,1836
347285704,1122;44,7885;347285704,1122;34,7885;347285704,1122;54,7885;301240000,0000;17,8011
348929277,3406;44,8294;348929277,3406;34,8294;348929277,3406;54,8294;301280000,0000;17,0241
350580628,9858;44,8703;350580628,9858;34,8703;350580628,9858;54,8703;301320000,0000;17,1562
352239795,8601;44,9112;352239795,8601;34,9112;352239795,8601;54,9112;301360000,0000;17,5465
353906814,9502;44,9521;353906814,9502;34,9521;353906814,9502;54,9521;301400000,0000;18,9741
355581723,4175;44,9930;355581723,4175;34,9930;355581723,4175;54,9930;301440000,0000;17,8106
357264558,5996;45,0339;357264558,5996;35,0339;357264558,5996;55,0339;301480000,0000;17,5522
358955358,0106;45,0749;358955358,0106;35,0749;358955358,0106;55,0749;301520000,0000;17,9425
360654159,3423;45,1158;360654159,3423;35,1158;360654159,3423;55,1158;301560000,0000;20,3178
362361000,4647;45,1567;362361000,4647;35,1567;362361000,4647;55,1567;301600000,0000;17,9463
364075919,4272;45,1976;364075919,4272;35,1976;364075919,4272;55,1976;301640000,0000;17,1713
365798954,4591;45,2385;365798954,4591;35,2385;365798954,4591;55,2385;301680000,0000;17,6918
367530143,9708;45,2794;367530143,9708;35,2794;367530143,9708;55,2794;301720000,0000;17,6937
369269526,5544;45,3203;369269526,5544;35,3203;369269526,5544;55,3203;301760000,0000;17,9539
371017140,9846;45,3613;371017140,9846;35,3613;371017140,9846;55,3613;301800000,0000;19,3957
372773026,2196;45,4022;372773026,2196;35,4022;372773026,2196;55,4022;301840000,0000;18,7285
374537221,4022;45,4431;374537221,4022;35,4431;374537221,4022;55,4431;301880000,0000;18,3440
376309765,8601;45,4840;376309765,8601;35,4840;376309765,8601;55,4840;301920000,0000;17,8333
378090699,1073;45,5249;378090699,1073;35,5249;378090699,1073;55,5249;301960000,0000;17,9634
379880060,8450;45,5658;379880060,8450;35,5658;379880060,8450;55,5658;302000000,0000;19,2709
381677890,9618;45,6067;381677890,9618;35,6067;381677890,9618;55,6067;302040000,0000;17,4506
383484229,5356;45,6477;383484229,5356;35,6477;383484229,5356;55,6477;302080000,0000;17,4525
385299116,8336;45,6886;385299116,8336;35,6886;385299116,8336;55,6886;302120000,0000;16,8035
387122593,3138;45,7295;387122593,3138;35,7295;387122593,3138;55,7295;302160000,0000;19,2785
388954699,6255;45,7704;388954699,6255;35,7704;388954699,6255;55,7704;302200000,0000;18,3591
390795476,6106;45,8113;390795476,6106;35,8113;390795476,6106;55,8113;302240000,0000;18,2328
392644965,3040;45,8522;392644965,3040;35,8522;392644965,3040;55,8522;302280000,0000;18,8835
394503206,9350;45,8931;394503206,9350;35,8931;394503206,9350;55,8931;302320000,0000;18,4949
396370242,9280;45,9341;396370242,9280;35,9341;396370242,9280;55,9341;302360000,0000;16,6867
398246114,9034;45,9750;398246114,9034;35,9750;398246114,9034;55,9750;302400000,0000;18,8891
400130864,6786;46,0159;400130864,6786;36,0159;400130864,6786;56,0159;302440000,0000;18,5005
402024534,2690;46,0568;402024534,2690;36,0568;402024534,2690;56,0568;302480000,0000;19,0251
403927165,8886;46,0977;403927165,8886;36,0977;403927165,8886;56,0977;302520000,0000;18,3741
405838801,9514;46,1386;405838801,9514;36,1386;405838801,9514;56,1386;302560000,0000;18,2479
407759485,0721;46,1795;407759485,0721;36,1795;407759485,0721;56,1795;302600000,0000;17,6051
409689258,0669;46,2205;409689258,0669;36,2205;409689258,0669;56,2205;302640000,0000;18,2516
411628163,9549;46,2614;411628163,9549;36,2614;411628163,9549;56,2614;302680000,0000;18,1254
413576245,9586;46,3023;413576245,9586;36,3023;413576245,9586;56,3023;302720000,0000;18,6418
415533547,5052;46,3432;415533547,5052;36,3432;415533547,5052;56,3432;302760000,0000;17,7427
417500112,2272;46,3841;417500112,2272;36,3841;417500112,2272;56,3841;302800000,0000;19,3086
419475983,9639;46,4250;419475983,9639;36,4250;419475983,9639;56,4250;302840000,0000;17,7465
421461206,7618;46,4659;421461206,7618;36,4659;421461206,7618;56,4659;302880000,0000;17,3599
423455824,8761;46,5069;423455824,8761;36,5069;423455824,8761;56,5069;302920000,0000;18,2648
425459882,7712;46,5478;425459882,7712;36,5478;425459882,7712;56,5478;302960000,0000;19,4503
427473425,1220;46,5887;427473425,1220;36,5887;427473425,1220;56,5887;303000000,0000;18,0123
429496496,8151;46,6296;429496496,8151;36,6296;429496496,8151;56,6296;303040000,0000;18,5287
431529142,9491;46,6705;431529142,9491;36,6705;431529142,9491;56,6705;303080000,0000;19,1874
433571408,8363;46,7114;433571408,8363;36,7114;433571408,8363;56,7114;303120000,0000;17,5013
435623340,0034;46,7523;435623340,0034;36,7523;435623340,0034;56,7523;303160000,0000;17,2429
437684982,1926;46,7933;437684982,1926;36,7933;437684982,1926;56,7933;303200000,0000;18,2779
439756381,3624;46,8342;439756381,3624;36,8342;439756381,3624;56,8342;303240000,0000;16,8561
441837583,6891;46,8751;441837583,6891;36,8751;441837583,6891;56,8751;303280000,0000;17,8972
443928635,5673;46,9160;443928635,5673;36,9160;443928635,5673;56,9160;303320000,0000;17,7689
446029583,6112;46,9569;446029583,6112;36,9569;446029583,6112;56,9569;303360000,0000;17,6406
448140474,6557;46,9978;448140474,6557;36,9978;448140474,6557;56,9978;303400000,0000;17,5144
450261355,7573;47,0387;450261355,7573;37,0387;450261355,7573;57,0387;303440000,0000;17,5163
452392274,1952;47,0797;452392274,1952;37,0797;452392274,1952;57,0797;303480000,0000;17,7764
454533277,4723;47,1206;454533277,4723;37,1206;454533277,4723;57,1206;303520000,0000;17,6481
456684413,3164;47,1615;456684413,3164;37,1615;456684413,3164;57,1615;303560000,0000;16,8710
458845729,6812;47,2024;458845729,6812;37,2024;458845729,6812;57,2024;303600000,0000;18,0403
461017274,7472;47,2433;461017274,7472;37,2433;461017274,7472;57,2433;303640000,0000;19,6142
463199096,9231;47,2842;463199096,9231;37,2842;463199096,9231;57,2842;303680000,0000;17,6555
