Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
10000;54.8587;85.9031;55
10500;55.4653;84.2343;55.4238
11025;55.9953;82.2693;55.8476
11576.3;56.5546;80.4064;56.2714
12155.1;56.9418;78.8165;56.6952
12762.8;57.3928;77.0365;57.1189
13401;57.8384;75.3069;57.5427
14071;58.2604;73.6143;57.9665
14774.6;58.549;71.5077;58.3903
15513.3;58.9868;69.2397;58.8141
16288.9;59.4233;66.9392;59.2378
17103.4;59.887;64.5922;59.6616
17958.6;60.321;62.6457;60.0854
18856.5;60.4934;61.5449;60.5092
19799.3;60.8394;62.2393;60.933
20789.3;61.176;66.4654;61.3568
21828.7;61.5033;69.436;61.7806
22920.2;61.9248;71.0147;62.2044
24066.2;62.3349;72.5668;62.6282
25269.5;62.8678;73.8003;63.0519
26533;63.3302;74.9816;63.4757
27859.6;63.6206;76.0302;63.8995
29252.6;64.046;76.9346;64.3233
30715.2;64.4884;77.8063;64.7471
32251;64.9417;78.6953;65.1709
33863.5;65.3084;79.4594;65.5946
35556.7;65.7551;80.1597;66.0184
37334.6;66.1823;80.9158;66.4422
39201.3;66.6448;81.5897;66.866
41161.4;66.9901;82.2095;67.2898
43219.4;67.4541;82.8828;67.7136
45380.4;67.8539;83.5618;68.1374
47649.4;68.2727;84.1717;68.5611
50031.9;68.7329;84.8483;68.9849
52533.5;69.1247;85.4105;69.4087
55160.2;69.5946;86.0181;69.8325
57918.2;69.9575;86.5768;70.2563
60814.1;70.3964;87.1241;70.6801
63854.8;70.8259;87.7307;71.1039
67047.5;71.305;88.3859;71.5277
70399.9;71.673;88.9313;71.9514
73919.9;72.1149;89.5979;72.3752
77615.9;72.5251;90.1655;72.799
81496.7;72.9849;90.8191;73.2228
85571.5;73.3681;91.3608;73.6466
89850.1;73.7989;92.0502;74.0704
94342.6;74.2487;92.7494;74.4942
99059.7;74.6607;93.4648;74.9179
104013;75.0789;94.2005;75.3418
109213;75.4145;94.8213;75.7655
114674;75.3075;95.0598;76.1893
120408;75.1955;95.3077;76.6131
126428;75.0157;95.5608;77.0369
132749;74.8008;95.8194;77.4606
139387;74.6815;96.0765;77.8844
146356;74.4183;96.3485;78.3082
153674;74.1056;96.4525;78.732
161358;73.7669;96.5454;79.1558
169426;73.5159;96.7248;79.5796
177897;73.5649;97.0633;80.0034
186792;73.7988;97.3563;80.4272
196131;74.4667;97.7081;80.8509
205938;75.3846;97.9795;81.2747
216235;76.6245;98.2495;81.6985
227047;78.04;98.5132;82.1223
238399;79.4607;98.7673;82.5461
250319;80.8403;99.02;82.9699
262835;82.0805;99.2644;83.3937
275977;83.1931;99.5322;83.8175
289775;83.9726;99.5998;84.2412
304264;84.5732;99.5998;84.665
319477;85.0704;99.5998;85.0888
335451;85.464;99.5998;85.5126
352224;85.726;99.5998;85.9364
369835;86.1152;99.8301;86.3602
388327;86.5393;100.176;86.784
407743;86.9498;100.53;87.2077
428130;87.3354;100.792;87.6315
449537;87.8426;101.072;88.0553
472014;88.2276;101.307;88.4791
495614;88.6085;101.581;88.9029
520395;89.0754;101.947;89.3267
546415;89.4527;102.217;89.7505
573736;89.9272;102.579;90.1742
602422;90.3564;102.914;90.598
632544;90.7319;103.173;91.0218
664171;91.1657;103.452;91.4456
697379;91.5762;103.746;91.8694
732248;92.0539;104.125;92.2932
768861;92.4778;104.473;92.717
807304;92.8756;104.843;93.1407
847669;93.295;105.209;93.5645
890052;93.7345;105.583;93.9883
934555;94.1481;105.968;94.4121
981283;94.5971;106.318;94.8359
1.03035e+06;94.7464;106.386;95
1.08186e+06;94.7734;106.386;95
1.13596e+06;94.8104;106.386;95
1.19276e+06;94.8455;106.386;95
1.25239e+06;94.8811;106.386;95
1.31501e+06;94.8988;106.386;95
1.38076e+06;94.9091;106.386;95
1.4498e+06;94.9447;106.386;95
1.52229e+06;94.965;106.386;95
1.59841e+06;95.0026;106.386;95
1.67833e+06;95.015;106.386;95
1.76224e+06;95.0631;106.386;95
1.85035e+06;95.078;106.386;95
1.94287e+06;95.1289;106.386;95
2.04002e+06;95.1364;106.386;95
2.14202e+06;95.0877;106.386;95
2.24912e+06;95.0803;106.386;95
2.36157e+06;95.0308;106.386;95
2.47965e+06;95.0327;106.386;95
2.60363e+06;95.0292;106.386;95
2.73382e+06;95.0161;106.386;95
2.87051e+06;94.9161;106.386;95
3.01403e+06;94.8798;106.386;95
3.16473e+06;94.8339;106.386;95
3.32297e+06;94.7439;106.386;95
3.48912e+06;94.7257;106.386;95
3.66358e+06;94.7061;106.386;95
3.84675e+06;94.7237;106.386;95
4.03909e+06;94.7256;106.386;95
4.24105e+06;94.7525;106.386;95
4.4531e+06;94.8919;106.386;95
4.67575e+06;95.0095;106.386;95
4.90954e+06;94.7942;106.156;95
5.15502e+06;94.5958;106.062;95
5.41277e+06;94.1743;106.062;95
5.68341e+06;93.7228;106.248;95
5.96758e+06;93.5018;106.61;95
6.26596e+06;93.4401;106.61;95
6.57926e+06;92.8868;107.27;95
6.90822e+06;92.5232;108.007;95
7.25363e+06;92.5995;107.775;95
7.61631e+06;92.1192;107.775;95
7.99713e+06;91.8469;105.548;95
8.39698e+06;91.1929;106.655;95
8.81683e+06;90.808;106.655;95
9.25767e+06;90.3768;106.655;95
9.72056e+06;90.1496;106.655;95
1.02066e+07;89.7441;106.655;95
1.07169e+07;89.2965;106.655;95
1.12528e+07;88.8801;106.655;95
1.18154e+07;88.4642;106.655;95
1.24062e+07;88.2177;106.655;95
1.30265e+07;86.3123;106.655;95
1.36778e+07;86.364;106.655;95
1.43617e+07;85.2123;106.655;95
1.50798e+07;84.2463;106.655;95
1.58338e+07;83.1629;106.655;95
1.66255e+07;82.0314;106.75;95
1.74567e+07;80.6563;106.798;95
1.83296e+07;79.2453;106.846;95
1.9246e+07;78.5263;106.89;95
2.02083e+07;80.1794;107.046;95
2.12188e+07;84.8227;107.265;95
2.22797e+07;91.6834;107.35;95
2.33937e+07;85.9882;107.35;95
2.45634e+07;79.6693;107.35;95
2.57915e+07;77.9819;107.35;95
2.70811e+07;81.2778;107.35;95
2.84352e+07;85.0664;107.35;95
2.98569e+07;89.0753;107.35;95
3.13498e+07;92.0152;107.173;94.8116
3.29173e+07;94.2539;107.067;94.6058
3.45631e+07;94.6506;106.078;94.4001
3.62913e+07;94.4501;104.067;94.1943
3.81058e+07;93.7234;104.324;93.9886
4.00111e+07;92.1472;106.673;93.7828
4.20117e+07;87.464;106.271;93.5771
4.41123e+07;81.0731;105.925;93.3713
4.63179e+07;81.327;105.811;93.1656
4.86338e+07;88.8075;105.577;92.9598
5.10655e+07;91.8327;105.47;92.7541
5.36187e+07;91.8323;105.47;92.5483
5.62997e+07;89.943;105.946;92.3426
5.91147e+07;85.8092;106.482;92.1368
6.20704e+07;86.3881;106.311;91.9311
6.51739e+07;82.8575;104.771;91.7253
6.84326e+07;85.8395;103.192;91.5196
7.18542e+07;84.9824;102.127;91.3138
7.5447e+07;80.821;101.356;91.1081
7.92193e+07;76.7986;102.372;90.9024
8.31803e+07;71.7619;103.937;90.6966
8.73393e+07;75.5605;104.089;90.4909
9.17062e+07;84.3119;105.131;90.2851
9.62916e+07;87.9916;105.08;90.0794
1.01106e+08;87.2141;102.852;89.8736
1.06161e+08;78.664;102.852;89.6679
