Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
1.1147e+08;84.3103;102.743;89.4621
1.17043e+08;80.2825;103.715;89.2564
1.22895e+08;81.5676;102.584;89.0506
1.2904e+08;77.2075;102.675;88.8449
1.35492e+08;79.5614;101.69;88.6391
1.42266e+08;79.687;103.195;88.4334
1.4938e+08;78.6479;103.195;88.2276
1.56849e+08;74.7194;102.45;88.0219
1.64691e+08;79.6545;103.746;87.8161
1.72926e+08;74.1348;102.531;87.6104
1.81572e+08;80.1186;102.482;87.4046
1.90651e+08;61.9888;101.742;87.1989
2e+08;86.9236;101.284;86.997
