RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
53468948,9140;34,0000;53468948,9140;24,0000;53468948,9140;44,0000;32560000,0000;27,8736
53953946,3190;34,0000;53953946,3190;24,0000;53953946,3190;44,0000;32600000,0000;27,8784
54443342,9592;34,0000;54443342,9592;24,0000;54443342,9592;44,0000;32640000,0000;28,8045
54937178,7385;34,0000;54937178,7385;24,0000;54937178,7385;44,0000;32680000,0000;25,3946
55435493,9227;34,0000;55435493,9227;24,0000;55435493,9227;44,0000;32720000,0000;26,8291
55938329,1428;34,0000;55938329,1428;24,0000;55938329,1428;44,0000;32760000,0000;25,1459
56445725,3985;34,0000;56445725,3985;24,0000;56445725,3985;44,0000;32800000,0000;26,5744
56957724,0612;34,0000;56957724,0612;24,0000;56957724,0612;44,0000;32840000,0000;28,3058
57474366,8778;34,0000;57474366,8778;24,0000;57474366,8778;44,0000;32880000,0000;27,2470
57995695,9736;34,0000;57995695,9736;24,0000;57995695,9736;44,0000;32920000,0000;28,9682
58521753,8561;34,0000;58521753,8561;24,0000;58521753,8561;44,0000;32960000,0000;29,2334
59052583,4186;34,0000;59052583,4186;24,0000;59052583,4186;44,0000;33000000,0000;29,4985
59588227,9431;34,0000;59588227,9431;24,0000;59588227,9431;44,0000;33040000,0000;33,3776
60128731,1044;34,0000;60128731,1044;24,0000;60128731,1044;44,0000;33080000,0000;30,0226
60674136,9735;34,0000;60674136,9735;24,0000;60674136,9735;44,0000;33120000,0000;30,5399
61224490,0211;34,0000;61224490,0211;24,0000;61224490,0211;44,0000;33160000,0000;27,9456
61779835,1211;34,0000;61779835,1211;24,0000;61779835,1211;44,0000;33200000,0000;28,7415
62340217,5547;34,0000;62340217,5547;24,0000;62340217,5547;44,0000;33240000,0000;27,6888
62905683,0138;34,0000;62905683,0138;24,0000;62905683,0138;44,0000;33280000,0000;27,4292
63476277,6045;34,0000;63476277,6045;24,0000;63476277,6045;44,0000;33320000,0000;27,5662
64052047,8514;34,0000;64052047,8514;24,0000;64052047,8514;44,0000;33360000,0000;28,5004
64633040,7010;34,0000;64633040,7010;24,0000;64633040,7010;44,0000;33400000,0000;27,4436
65219303,5255;34,0000;65219303,5255;24,0000;65219303,5255;44,0000;33440000,0000;27,8470
65810884,1272;34,0000;65810884,1272;24,0000;65810884,1272;44,0000;33480000,0000;27,7176
66407830,7414;34,0000;66407830,7414;24,0000;66407830,7414;44,0000;33520000,0000;29,1704
67010192,0415;34,0000;67010192,0415;24,0000;67010192,0415;44,0000;33560000,0000;29,0450
67618017,1420;34,0000;67618017,1420;24,0000;67618017,1420;44,0000;33600000,0000;29,8288
68231355,6032;34,0000;68231355,6032;24,0000;68231355,6032;44,0000;33640000,0000;29,5753
68850257,4346;34,0000;68850257,4346;24,0000;68850257,4346;44,0000;33680000,0000;30,4810
69474773,0997;34,0000;69474773,0997;24,0000;69474773,0997;44,0000;33720000,0000;29,3246
70104953,5193;34,0000;70104953,5193;24,0000;70104953,5193;44,0000;33760000,0000;29,5897
70740850,0766;34,0000;70740850,0766;24,0000;70740850,0766;44,0000;33800000,0000;29,4643
71382514,6205;34,0000;71382514,6205;24,0000;71382514,6205;44,0000;33840000,0000;30,6263
72029999,4702;34,0000;72029999,4702;24,0000;72029999,4702;44,0000;33880000,0000;28,4306
72683357,4197;34,0000;72683357,4197;24,0000;72683357,4197;44,0000;33920000,0000;28,8279
73342641,7418;34,0000;73342641,7418;24,0000;73342641,7418;44,0000;33960000,0000;29,8720
74007906,1924;34,0000;74007906,1924;24,0000;74007906,1924;44,0000;34000000,0000;30,3893
74679205,0150;34,0000;74679205,0150;24,0000;74679205,0150;44,0000;34040000,0000;30,2659
75356592,9453;34,0000;75356592,9453;24,0000;75356592,9453;44,0000;34080000,0000;30,5290
76040125,2153;34,0000;76040125,2153;24,0000;76040125,2153;44,0000;34120000,0000;30,7860
76729857,5582;34,0000;76729857,5582;24,0000;76729857,5582;44,0000;34160000,0000;30,5386
77425846,2125;34,0000;77425846,2125;24,0000;77425846,2125;44,0000;34200000,0000;30,5434
78128147,9270;34,0000;78128147,9270;24,0000;78128147,9270;44,0000;34240000,0000;28,0752
78836819,9651;34,0000;78836819,9651;24,0000;78836819,9651;44,0000;34280000,0000;28,4786
79551920,1098;34,0000;79551920,1098;24,0000;79551920,1098;44,0000;34320000,0000;28,6156
80273506,6680;34,0000;80273506,6680;24,0000;80273506,6680;44,0000;34360000,0000;29,1410
81001638,4756;34,0000;81001638,4756;24,0000;81001638,4756;44,0000;34400000,0000;29,6665
81736374,9022;34,0000;81736374,9022;24,0000;81736374,9022;44,0000;34440000,0000;29,5411
82477775,8560;34,0000;82477775,8560;24,0000;82477775,8560;44,0000;34480000,0000;29,0253
83225901,7884;34,0000;83225901,7884;24,0000;83225901,7884;44,0000;34520000,0000;29,4206
83980813,6993;34,0000;83980813,6993;24,0000;83980813,6993;44,0000;34560000,0000;29,1650
84742573,1418;34,0000;84742573,1418;24,0000;84742573,1418;44,0000;34600000,0000;27,9862
85511242,2273;34,0000;85511242,2273;24,0000;85511242,2273;44,0000;34640000,0000;27,4582
86286883,6308;34,0000;86286883,6308;24,0000;86286883,6308;44,0000;34680000,0000;27,5972
87069560,5956;34,0000;87069560,5956;24,0000;87069560,5956;44,0000;34720000,0000;28,1328
87859336,9388;34,0000;87859336,9388;24,0000;87859336,9388;44,0000;34760000,0000;28,1376
88656277,0561;34,0000;88656277,0561;24,0000;88656277,0561;44,0000;34800000,0000;28,2746
89460445,9276;34,0000;89460445,9276;24,0000;89460445,9276;44,0000;34840000,0000;29,1986
90271909,1227;34,0000;90271909,1227;24,0000;90271909,1227;44,0000;34880000,0000;27,3548
